Texto,Spam
"URGENTE: Sua conta foi bloqueada, clique para recuperar",1
Reunião de alinhamento do projeto às 14h,0
Trabalhe 2 horas por dia e ganhe R$ 5000 por mês!,1
"Andreza, você consegue revisar a introdução do artigo hoje?",0
"Você ganhou um sorteio internacional, resgate agora",1
Notas da prova de cálculo já estão no sistema,0
Aprovamos um cartão com limite de 50 mil para você,1
Professor Ricardo confirmou a orientação para sexta-feira,0
Emagreça 10kg em uma semana com essa pílula mágica,1
Lista de convidados atualizada para o aniversário,0
Invista apenas 100 reais e receba 5000 amanhã em Bitcoin,1
Agendamento da visita ao CEMAB confirmado,0
Seu pacote foi retido na alfândega pague a taxa,1
Dúvida sobre a implementação da matriz no TP1,0
Oferta IMPERDÍVEL: 90% de desconto apenas nas próximas 2 horas,1
Seu pedido do iFood saiu para entrega,0
"Aviso judicial: Processo em seu nome, veja os detalhes",1
Lembrete: pagamento da fatura do cartão vence amanhã,0
Aumente seu desempenho hoje mesmo!,1
Alteração no cronograma de aulas práticas,0
"Parabéns, seu currículo foi selecionado para uma vaga de 15k",1
Segue o script em Python para a coleta de dados,0
Limpe seu nome no Serasa sem pagar a dívida,1
Podemos marcar um call rápido para fechar a apresentação?,0
Descubra quem visitou seu perfil no Instagram,1
O arquivo .h5 com os registros está no drive,0
"Comprovante de PIX recebido no valor de R$ 8.500,00",1
Confirmação de matrícula no semestre letivo,0
"Seu antivírus expirou, renove agora ou perca tudo",1
Falta um cabo jumper e o ESP32 para o laboratório,0
Método infalível para ganhar na loteria,1
Marcos e Caio já confirmaram presença,0
"Vazaram suas fotos, pague em bitcoin para não divulgarmos",1
Precisamos comprar as frutas para a festa,0
Acesso liberado ao curso milionário gratuito,1
Ata da reunião do Ministério do Desenvolvimento Social,0
Compre seguidores reais e baratos para suas redes,1
Sua reserva para o fim de semana foi confirmada,0
Ganhe dinheiro apenas avaliando roupas da Shein,1
Professor Marcelo respondeu sobre o banco de dados,0
URGENTE! Sua conta bancária foi temporariamente bloqueada por segurança. Clique aqui para confirmar seus dados e desbloquear o acesso.,1
"Parabéns! Você foi selecionado para ganhar um PIX de R$ 5.000,00. Resgate agora mesmo acessando o link.",1
Sua fatura do cartão de crédito está vencida. Evite o cancelamento imediato realizando o pagamento via boleto anexado.,1
ATENÇÃO: Detectamos um acesso suspeito no seu e-mail. Confirme sua senha imediatamente para evitar a exclusão da conta.,1
Investimento em Criptomoedas garantido! Retorno de 300% ao mês sem riscos. Clique no link do Telegram para entrar no grupo VIP.,1
Oferta imperdível: iPhone 15 Pro Max com 70% de desconto apenas hoje! Frete grátis para todo o Brasil. Compre já!,1
Seu pacote dos Correios ficou retido na alfândega por falta de pagamento da taxa de liberação. Clique para regularizar.,1
"Parabéns, cliente! Você ganhou um cartão de fósforo dourado com limite de R$ 20.000. Desbloqueie enviando seus documentos.",1
"Alerta de segurança: Tentativa de login bloqueada em Salvador. Se não foi você, clique aqui para redefinir sua senha de acesso.",1
"Ganhe dinheiro trabalhando em casa apenas digitando avaliações de marcas famosas. Vagas limitadas, cadastre-se agora!",1
"Olá, João! O seu pedido #45892 foi despachado pelos Correios e já está a caminho do seu endereço. Acompanhe pelo site.",0
Segue em anexo a ata da nossa reunião de alinhamento semanal realizada ontem com a equipe de engenharia de software.,0
Lembrete: Sua consulta médica com o Dr. Carlos está agendada para amanhã às 14h30 na clínica central.,0
"Prezado cliente, sua fatura digital do mês de junho já está disponível no aplicativo oficial do seu banco.",0
"Oi Maria, tudo bem? Vamos marcar aquele café na próxima quinta-feira para conversarmos sobre o projeto novo?",0
Confirmação de reserva: Sua estadia no Hotel Vista Alegre foi confirmada para o período de 12 a 15 de julho.,0
Alteração na política de privacidade: Atualizamos nossos termos de uso para garantir mais transparência aos nossos usuários.,0
Parabéns pela conclusão do curso de Python para Ciência de Dados! Seu certificado digital já pode ser baixado na plataforma.,0
"Prezados colaboradores, o sistema corporativo passará por uma manutenção programada neste sábado das 00h às 04h.",0
Olá! Sua assinatura mensal foi renovada com sucesso no valor padrão. Obrigado por continuar com a nossa plataforma.,0
